GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA21_4818: Total - Generation status for the population in private households,v_CA21_4821: First generation,v_CA21_4824: Second generation,v_CA21_4827: Third generation or more,v_CA21_914: Income statistics for private households,v_CA21_917: Income statistics for one-person private households,v_CA21_920: Income statistics for two-or-more-persons private households,v_CA21_905: Income statistics for private households,"v_CA21_1: Population, 2021",v_CA21_6: Population density per square kilometre
5350159.01,CT,0159.01,0.4925,3506,1403,1272,3380,2020,1035,325,1210,260,950,1275,3506,7118.8
5350159.02,CT,0159.02,0.5785,4865,1899,1787,4925,2765,1490,670,1815,415,1405,1785,4865,8409.7
5350160.00,CT,0160.00,0.7312,3152,1235,1154,3190,1835,1050,315,1135,200,935,1155,3152,4310.7
5350161.00,CT,0161.00,0.8113,6885,2723,2556,6820,3810,2070,945,2575,590,1990,2555,6885,8486.4
5350162.00,CT,0162.00,0.5757,4846,2081,1908,4810,2510,1430,870,1915,520,1395,1910,4846,8417.6
5350163.00,CT,0163.00,0.4542,4308,1909,1743,4245,1835,1300,1110,1740,495,1240,1740,4308,9484.8
5350164.00,CT,0164.00,0.6282,6002,2616,2423,6040,2690,1755,1590,2430,595,1840,2425,6002,9554.3
5350165.00,CT,0165.00,0.4849,4209,1999,1830,4305,1540,1200,1565,1850,585,1260,1830,4209,8680.1
5350166.00,CT,0166.00,0.786,4024,1733,1624,4085,1135,1110,1840,1645,515,1130,1625,4024,5119.6
5350167.01,CT,0167.01,0.1341,2446,1740,1540,2345,865,695,795,1565,960,605,1540,2446,18240.1
5350167.02,CT,0167.02,0.6014,5745,3257,2878,5455,2485,1385,1585,2845,1335,1510,2880,5745,9552.7
5350168.00,CT,0168.00,0.5655,5674,2836,2565,5620,3165,1405,1055,2555,1055,1505,2565,5674,10033.6
5350169.01,CT,0169.01,0.3781,3587,1571,1422,3535,2180,880,470,1390,360,1025,1425,3587,9486.9
5350169.02,CT,0169.02,0.4378,7596,3426,3252,7675,4840,1835,1000,3300,1070,2230,3250,7596,17350.4
5350170.00,CT,0170.00,1.0124,3407,1348,1266,3375,2040,925,405,1255,275,975,1265,3407,3365.3
5350171.00,CT,0171.00,0.61,3914,1572,1486,3650,2210,1160,280,1475,410,1065,1485,3914,6416.4
5350172.00,CT,0172.00,1.207,2505,1179,1087,2605,1455,770,385,1095,400,700,1090,2505,2075.4
5350173.00,CT,0173.00,0.5942,3586,1540,1400,3575,2035,1110,430,1385,405,980,1400,3586,6035
5350174.00,CT,0174.00,1.0531,7062,2755,2621,6795,4250,1995,550,2660,780,1885,2620,7062,6705.9
5350175.01,CT,0175.01,0.7906,5963,2565,2348,5630,3075,1805,750,2370,820,1545,2345,5963,7542.4
5350175.02,CT,0175.02,0.7229,8672,4253,3920,8660,5225,2270,1165,3920,1605,2315,3920,8672,11996.1
5350176.00,CT,0176.00,1.0009,4261,1762,1651,4385,1675,1400,1310,1630,395,1240,1650,4261,4257.2
5350180.00,CT,0180.00,0.6138,6462,3016,2753,6440,3170,1570,1700,2750,905,1845,2750,6462,10527.9
5350181.01,CT,0181.01,0.5706,4382,1928,1824,4445,1360,1415,1665,1825,480,1340,1825,4382,7679.6
5350181.02,CT,0181.02,0.6018,3546,1645,1554,3475,1310,965,1190,1555,540,1015,1555,3546,5892.3
5350182.00,CT,0182.00,0.7605,5407,2279,2141,5390,1660,1630,2100,2145,550,1600,2140,5407,7109.8
5350183.01,CT,0183.01,0.5241,2623,1046,1003,2590,805,890,900,975,265,705,1005,2623,5004.8
5350183.02,CT,0183.02,0.4281,4035,1621,1574,4050,1310,1295,1450,1565,355,1215,1570,4035,9425.4
5350184.01,CT,0184.01,0.4741,5008,2357,2228,5035,2230,1405,1400,2255,790,1465,2225,5008,10563.2
5350184.02,CT,0184.02,0.5571,3671,1706,1608,3635,1560,1050,1030,1630,540,1090,1605,3671,6589.5
5350185.01,CT,0185.01,0.4992,6836,3480,3279,6785,3255,1675,1850,3260,1275,1980,3280,6836,13693.9
5350185.02,CT,0185.02,1.1945,4244,2114,1998,4175,1910,1185,1080,2020,830,1185,2000,4244,3553
5350186.00,CT,0186.00,1.8682,2382,950,915,2375,550,645,1175,915,255,660,915,2382,1275
5350187.00,CT,0187.00,1.1945,3473,1417,1335,3475,1040,1230,1200,1325,300,1030,1335,3473,2907.5
5350188.00,CT,0188.00,0.552,2031,831,786,2045,595,665,785,775,230,540,785,2031,3679.3
5350189.00,CT,0189.00,1.2261,5655,2340,2265,5315,2330,1310,1675,2310,780,1530,2265,5655,4612.2
5350190.01,CT,0190.01,0.3985,8588,3468,3257,8585,6210,1620,750,3260,910,2345,3255,8588,21550.8
5350190.02,CT,0190.02,0.5813,4612,2095,1968,4610,2045,1050,1515,1980,675,1305,1965,4612,7933.9
5350191.00,CT,0191.00,0.823,4372,1891,1774,4345,1675,1160,1510,1740,490,1250,1775,4372,5312.3
5350192.00,CT,0192.00,0.9181,843,467,414,865,455,265,140,435,235,195,415,843,918.2
5350193.00,CT,0193.00,1.3846,3264,1080,1037,3270,1510,1050,705,990,145,850,1035,3264,2357.4
5350194.01,CT,0194.01,0.2711,7821,2168,2040,7775,5580,2095,100,2035,240,1800,2040,7821,28849.1
5350194.02,CT,0194.02,0.3063,4717,1616,1493,4525,3230,975,325,1495,410,1085,1490,4717,15399.9
5350194.03,CT,0194.03,0.2502,2700,1191,1148,2750,2035,480,230,1170,450,720,1145,2700,10791.4
5350194.04,CT,0194.04,2.2646,5399,2516,2383,5350,3310,1410,625,2360,900,1455,2385,5399,2384.1
5350195.01,CT,0195.01,0.9373,4425,1747,1576,4275,1150,1360,1770,1570,375,1195,1575,4425,4721
5350195.02,CT,0195.02,0.3781,2384,977,940,2230,630,670,935,930,300,630,940,2384,6305.2
5350196.01,CT,0196.01,0.3774,1942,815,772,1965,515,490,965,775,210,560,775,1942,5145.7
5350196.02,CT,0196.02,1.1055,5577,2369,2232,5685,1215,1520,2950,2240,605,1635,2230,5577,5044.8
5350200.01,CT,0200.01,0.5578,5594,3140,3002,5740,3185,1315,1240,3045,1460,1585,3005,5594,10028.7
5350200.02,CT,0200.02,0.1472,1049,671,639,1050,450,275,330,655,400,260,635,1049,7126.4
5350201.00,CT,0201.00,0.7606,5528,2932,2734,5295,2400,1375,1520,2720,1165,1550,2735,5528,7267.9
5350202.00,CT,0202.00,0.3359,1640,668,644,1670,520,570,585,665,150,515,645,1640,4882.4
5350203.00,CT,0203.00,0.5966,3425,1609,1518,3480,1295,965,1215,1500,485,1010,1515,3425,5740.9
5350204.00,CT,0204.00,0.7465,4596,2310,2173,4620,1420,1210,1990,2185,925,1255,2175,4596,6156.7
5350205.00,CT,0205.00,0.7448,144,1,0,,,,,,,,,144,193.3
5350206.01,CT,0206.01,1.1402,5106,2626,2483,5090,1970,1510,1615,2470,955,1520,2480,5106,4478.2
5350206.02,CT,0206.02,1.0895,6294,3059,2810,6270,2445,1625,2205,2820,965,1855,2810,6294,5777
5350207.00,CT,0207.00,0.675,2597,1295,1142,2445,1125,615,710,1085,335,750,1145,2597,3847.4
5350208.00,CT,0208.00,1.2974,4165,2083,1960,4275,2175,1020,1080,2005,800,1205,1960,4165,3210.3
5350209.00,CT,0209.00,0.681,2862,1451,1351,2820,1370,680,770,1335,580,755,1350,2862,4202.6
5350210.01,CT,0210.01,2.9534,3703,1044,987,2735,1135,895,700,1000,185,820,990,3703,1253.8
5350210.03,CT,0210.03,0.4539,6959,4432,4159,6915,3380,2000,1535,4225,2165,2060,4160,6959,15331.6
5350210.04,CT,0210.04,0.4751,10080,6673,6166,9945,5425,2535,1985,6060,2990,3065,6165,10080,21216.6
5350211.00,CT,0211.00,3.2763,6884,2752,2631,6880,2770,2120,1995,2630,675,1955,2635,6884,2101.2
5350212.00,CT,0212.00,1.6941,5712,2282,2157,5710,1800,1675,2235,2160,470,1690,2155,5712,3371.7
5350213.01,CT,0213.01,0.9423,2658,1026,985,2570,1035,840,695,975,250,725,985,2658,2820.8
5350213.02,CT,0213.02,7.001,6301,3516,3312,6205,3480,1640,1080,3345,1455,1885,3315,6301,900
5350214.00,CT,0214.00,2.8231,6728,3333,3186,6755,2950,2120,1680,3155,1145,2010,3185,6728,2383.2
5350215.00,CT,0215.00,2.5734,7151,3019,2887,6965,2860,2140,1965,2880,805,2075,2890,7151,2778.8
5350216.00,CT,0216.00,1.9782,5489,2224,2136,5495,1570,1805,2125,2125,485,1640,2135,5489,2774.7
5350217.00,CT,0217.00,1.223,5900,3017,2832,5880,3270,1380,1225,2840,1165,1675,2830,5900,4824.2
5350218.00,CT,0218.00,0.6764,2674,1055,1016,2750,595,875,1280,1050,240,815,1015,2674,3953.3
5350219.00,CT,0219.00,1.3542,4531,1696,1644,4560,1560,1485,1510,1615,320,1290,1645,4531,3345.9
5350220.00,CT,0220.00,1.2991,4196,1597,1546,4085,1800,1105,1185,1580,350,1230,1550,4196,3229.9
5350221.01,CT,0221.01,1.6291,6363,2754,2674,6285,2290,1860,2130,2645,760,1880,2675,6363,3905.8
5350221.02,CT,0221.02,0.805,5269,2169,2061,5105,2910,1350,845,2065,615,1450,2060,5269,6545.3
5350222.01,CT,0222.01,1.2848,7105,2907,2795,7185,3375,2270,1535,2805,740,2070,2795,7105,5530
5350222.02,CT,0222.02,1.2002,4985,1851,1744,4815,2440,1520,850,1735,350,1390,1740,4985,4153.5
5350223.01,CT,0223.01,0.8578,1522,545,525,1510,585,530,400,535,95,440,525,1522,1774.3
5350223.02,CT,0223.02,0.8725,2180,793,763,2165,625,735,805,760,140,620,765,2180,2498.6
5350224.00,CT,0224.00,1.0381,1650,581,569,1705,500,605,600,575,75,500,565,1650,1589.4
5350225.01,CT,0225.01,0.9188,5209,2597,2472,5215,2485,1370,1365,2480,855,1620,2470,5209,5669.4
5350225.02,CT,0225.02,0.3045,10827,5846,5429,10640,6605,2465,1565,5430,2315,3115,5430,10827,35556.7
5350226.00,CT,0226.00,0.949,2813,1025,1004,2750,665,860,1230,985,185,805,1005,2813,2964.2
5350227.00,CT,0227.00,0.4918,1752,678,651,1770,400,555,810,660,115,545,650,1752,3562.4
5350228.00,CT,0228.00,0.8207,3144,1522,1430,3155,970,940,1245,1425,500,930,1430,3144,3830.9
5350229.00,CT,0229.00,0.3203,1226,396,388,1185,170,345,670,400,65,335,390,1226,3827.7
5350230.01,CT,0230.01,1.4481,2649,1297,1141,2455,880,805,775,1115,390,720,1140,2649,1829.3
5350230.02,CT,0230.02,0.9858,6558,2784,2675,6465,3520,1910,1030,2705,810,1895,2675,6558,6652.5
5350231.00,CT,0231.00,3.0227,6273,2559,2469,6275,1910,2010,2350,2470,665,1810,2465,6273,2075.3
5350232.00,CT,0232.00,2.0474,3820,1341,1318,3695,935,1200,1560,1285,170,1120,1320,3820,1865.8
5350233.00,CT,0233.00,2.0783,5707,2079,2014,5770,2240,1815,1720,2045,335,1710,2015,5707,2746
5350234.00,CT,0234.00,2.1001,4531,1642,1593,4540,1880,1580,1080,1585,280,1305,1595,4531,2157.5
5350235.01,CT,0235.01,1.4071,2902,1042,1019,2775,1075,865,840,985,200,780,1015,2902,2062.4
5350235.02,CT,0235.02,1.078,5166,2041,1991,5140,2540,1430,1170,2000,465,1535,1995,5166,4792.2
5350236.01,CT,0236.01,0.9868,6949,2750,2667,6760,3680,1975,1105,2665,690,1970,2670,6949,7042
5350236.02,CT,0236.02,3.9589,5902,2282,2241,5990,2845,1700,1450,2275,480,1795,2240,5902,1490.8
5350237.01,CT,0237.01,1.1853,6641,2463,2381,6640,4290,1830,520,2380,575,1810,2385,6641,5602.8
5350237.02,CT,0237.02,0.955,3003,1064,1042,3035,1430,1055,550,1050,150,900,1040,3003,3144.5
5350237.03,CT,0237.03,1.0683,5935,2725,2629,5895,2805,1735,1350,2625,945,1680,2630,5935,5555.6
5350238.01,CT,0238.01,1.0368,3500,1327,1302,3410,1135,1270,1010,1285,250,1035,1305,3500,3375.8
5350238.02,CT,0238.02,0.9766,5306,2073,1960,5600,2810,1760,1030,2030,430,1600,1960,5306,5433.1
5350239.00,CT,0239.00,2.5251,6715,2511,2401,6415,3170,2155,1090,2330,465,1865,2400,6715,2659.3
5350240.01,CT,0240.01,1.2712,3377,1282,1242,3465,1445,1190,825,1255,220,1035,1240,3377,2656.5
5350240.02,CT,0240.02,1.0371,6089,2614,2544,5785,3090,1750,945,2595,895,1700,2545,6089,5871.2
5350241.00,CT,0241.00,1.0863,2772,1035,991,2725,1155,970,600,975,170,805,990,2772,2551.8
5350242.00,CT,0242.00,0.6108,1566,608,577,1500,725,545,230,540,120,420,580,1566,2563.9
5350243.01,CT,0243.01,0.3152,6212,2233,2112,6295,4010,1980,300,2110,545,1560,2115,6212,19708.1
5350243.02,CT,0243.02,1.2154,3793,1346,1312,3695,2065,1110,525,1315,300,1020,1310,3793,3120.8
5350244.01,CT,0244.01,1.4233,3663,1308,1262,3645,1690,1150,805,1275,280,990,1260,3663,2573.6
5350244.02,CT,0244.02,1.4473,5703,1989,1931,5710,3245,1910,555,1925,380,1540,1930,5703,3940.4
5350245.00,CT,0245.00,1.4211,7033,2811,2682,7000,3755,2125,1130,2670,765,1900,2685,7033,4949
5350246.00,CT,0246.00,1.0727,3345,1312,1263,3375,1625,970,780,1275,375,900,1260,3345,3118.3
5350247.01,CT,0247.01,17.2448,9027,3172,3010,8935,5885,2635,415,3010,635,2375,3010,9027,523.5
5350247.02,CT,0247.02,3.2287,7213,2535,2433,7215,4105,2090,1020,2435,480,1950,2435,7213,2234
5350248.02,CT,0248.02,1.2135,5538,1840,1779,5470,3190,1875,410,1775,545,1235,1775,5538,4563.7
5350248.03,CT,0248.03,3.7328,2651,791,768,2785,2015,635,135,785,95,685,770,2651,710.2
5350248.04,CT,0248.04,1.4771,4945,1677,1576,4815,3320,1270,220,1585,325,1265,1575,4945,3347.8
5350248.05,CT,0248.05,1.1307,4285,1389,1321,3985,2685,1010,290,1290,260,1035,1320,4285,3789.7
5350249.01,CT,0249.01,0.8298,4598,1422,1349,4530,3130,1260,140,1345,170,1175,1350,4598,5541.1
5350249.03,CT,0249.03,2.9649,5569,1671,1592,5560,3655,1540,360,1590,190,1400,1590,5569,1878.3
5350249.04,CT,0249.04,0.6869,2709,863,810,2780,1910,750,120,810,105,705,810,2709,3943.8
5350249.05,CT,0249.05,0.6431,5606,1705,1619,5605,4160,1285,160,1620,160,1460,1620,5606,8717.2
5350250.01,CT,0250.01,1.3886,5047,1613,1497,4845,3130,1360,350,1485,255,1230,1495,5047,3634.6
5350250.02,CT,0250.02,1.9387,4958,1825,1747,5010,2705,1630,670,1755,405,1350,1745,4958,2557.4
5350250.04,CT,0250.04,0.485,5939,2077,1983,5875,4120,1505,250,1970,365,1605,1985,5939,12245.4
5350250.05,CT,0250.05,0.6689,7031,2283,2201,7090,5370,1550,165,2215,310,1900,2200,7031,10511.3
5350260.01,CT,0260.01,0.7135,6590,2432,2348,6270,4275,1715,285,2310,650,1660,2345,6590,9236.2
5350260.04,CT,0260.04,0.1881,3879,1499,1381,4100,2955,1025,120,1390,385,1005,1380,3879,20622
5350260.05,CT,0260.05,0.2543,4139,1387,1330,3925,2635,1130,155,1310,240,1075,1330,4139,16276.1
5350260.06,CT,0260.06,0.9202,4354,1784,1647,4335,2985,1100,245,1655,405,1250,1645,4354,4731.6
5350260.07,CT,0260.07,0.3446,3591,1530,1487,3900,2630,1000,265,1530,425,1100,1485,3591,10420.8
5350261.00,CT,0261.00,1.9129,5547,2301,2207,5280,3250,1425,605,2205,830,1380,2210,5547,2899.8
5350262.01,CT,0262.01,0.6709,5848,2756,2648,5780,3275,1395,1110,2665,985,1680,2645,5848,8716.6
5350262.02,CT,0262.02,2.146,6252,2519,2422,6310,3310,1675,1325,2405,695,1715,2425,6252,2913.3
5350263.02,CT,0263.02,1.9994,3873,1963,1864,3655,1860,990,805,1845,805,1045,1865,3873,1937.1
5350263.03,CT,0263.03,1.5561,4635,2192,2086,4755,2600,1245,910,2085,750,1340,2090,4635,2978.6
5350263.04,CT,0263.04,0.6751,6464,3614,3406,6305,3980,1290,1030,3425,1565,1860,3410,6464,9574.9
5350264.00,CT,0264.00,3.4299,1260,470,416,1205,695,335,185,425,75,345,415,1260,367.4
5350265.00,CT,0265.00,2.6642,5555,1889,1801,4775,1595,1310,1865,1815,425,1390,1800,5555,2085.1
5350266.00,CT,0266.00,2.7255,3094,1159,1085,2965,1380,785,795,1060,160,900,1085,3094,1135.2
5350267.00,CT,0267.00,2.7052,6042,2117,2036,6135,3430,1755,940,2040,315,1730,2035,6042,2233.5
5350268.00,CT,0268.00,3.0255,6458,2935,2824,6310,2935,1760,1615,2820,960,1860,2825,6458,2134.5
5350269.01,CT,0269.01,0.7469,5284,2360,2224,5195,3500,1150,550,2230,685,1545,2225,5284,7074.6
5350269.02,CT,0269.02,1.754,2562,947,908,2640,1355,750,535,900,120,780,910,2562,1460.7
5350270.01,CT,0270.01,1.1233,4763,1965,1879,4815,2380,1350,1080,1875,515,1365,1880,4763,4240.2
5350270.02,CT,0270.02,0.7566,4263,1632,1557,4210,1845,1265,1095,1560,345,1215,1555,4263,5634.4
5350271.01,CT,0271.01,0.8935,2394,906,879,2410,985,735,685,890,200,685,880,2394,2679.4
5350271.02,CT,0271.02,0.7092,4724,1767,1711,4710,2445,1280,980,1705,365,1340,1710,4724,6661
5350272.01,CT,0272.01,0.4552,5945,2414,2318,5880,3760,1380,730,2305,630,1675,2320,5945,13060.2
5350272.02,CT,0272.02,0.9988,4623,1789,1726,4620,2900,1160,560,1740,410,1325,1725,4623,4628.6
5350273.01,CT,0273.01,3.1903,3703,1316,1245,3675,1890,1185,595,1210,140,1070,1245,3703,1160.7
5350273.02,CT,0273.02,1.2888,4032,1528,1461,4020,2420,990,615,1490,280,1215,1460,4032,3128.5
5350274.01,CT,0274.01,1.5248,4712,1800,1690,4570,2575,1240,755,1645,315,1325,1690,4712,3090.2
5350274.02,CT,0274.02,1.3314,4558,2061,1946,4700,2650,1120,925,1990,635,1355,1945,4558,3423.5
5350275.00,CT,0275.00,1.9615,5567,2422,2295,5635,1750,1765,2120,2340,725,1615,2295,5567,2838.1
5350276.01,CT,0276.01,1.2261,6317,2605,2488,6050,2090,1745,2215,2440,850,1595,2490,6317,5152.1
5350276.02,CT,0276.02,1.2826,6567,2512,2355,6545,2200,1865,2485,2360,475,1885,2355,6567,5120.1
5350277.00,CT,0277.00,1.0278,3925,1323,1199,3915,1420,1235,1260,1195,220,975,1200,3925,3818.8
5350278.00,CT,0278.00,1.3337,7734,2972,2787,7515,3410,2360,1750,2700,835,1865,2785,7734,5798.9
5350279.01,CT,0279.01,1.2144,4135,1668,1565,4425,2485,1330,610,1625,365,1260,1565,4135,3405
5350279.02,CT,0279.02,1.5756,6140,2375,2260,5760,3500,1705,555,2260,665,1595,2260,6140,3896.9
5350280.00,CT,0280.00,2.1365,7217,3002,2875,7180,4185,2215,775,2875,815,2055,2875,7217,3378
5350281.01,CT,0281.01,0.9657,6403,2333,2227,6360,3655,2160,550,2220,475,1740,2225,6403,6630.4
5350281.02,CT,0281.02,0.4129,3921,1339,1295,3960,2220,1400,330,1310,215,1090,1295,3921,9496.2
5350282.00,CT,0282.00,2.2191,4588,1676,1587,4485,1965,1740,775,1585,305,1275,1585,4588,2067.5
5350283.01,CT,0283.01,0.919,5153,1927,1846,5230,3005,1780,445,1875,485,1395,1845,5153,5607.2
5350283.02,CT,0283.02,1.1649,4390,1768,1676,4160,2105,1565,490,1640,385,1255,1675,4390,3768.6
5350284.00,CT,0284.00,1.4127,6762,2566,2407,6585,3705,2170,710,2430,575,1855,2405,6762,4786.6
5350285.00,CT,0285.00,1.1139,3278,1257,1196,3260,1760,1050,455,1175,265,910,1195,3278,2942.8
5350286.00,CT,0286.00,3.2442,6768,3230,3012,6440,3540,2110,795,2950,1025,1925,3010,6768,2086.2
5350287.02,CT,0287.02,1.058,6471,2392,2246,6340,3750,1945,640,2265,595,1665,2245,6471,6116.3
5350287.03,CT,0287.03,0.4842,2699,1236,1148,2705,1515,870,320,1135,460,675,1145,2699,5574.1
5350287.04,CT,0287.04,0.5939,4551,2059,1981,4730,2260,1450,1025,2065,925,1145,1985,4551,7662.9
5350288.00,CT,0288.00,2.6307,11027,4955,4610,10985,5635,3130,2220,4610,1510,3100,4610,11027,4191.7
5350289.00,CT,0289.00,1.3017,4885,1921,1827,4865,2640,1535,695,1825,410,1415,1825,4885,3752.8
5350290.01,CT,0290.01,0.944,3748,1530,1446,3620,2340,985,295,1425,425,1000,1445,3748,3970.3
5350290.02,CT,0290.02,0.3462,1652,797,756,1665,970,465,230,770,325,450,755,1652,4771.8
5350291.02,CT,0291.02,1.1464,4881,2038,1930,5045,2925,1545,570,1935,640,1290,1930,4881,4257.7
5350291.03,CT,0291.03,0.4174,2721,1154,1103,2680,1585,735,355,1125,315,805,1105,2721,6518.9
5350291.04,CT,0291.04,0.5131,1572,685,649,1450,975,350,125,620,205,415,650,1572,3063.7
5350292.00,CT,0292.00,3.7345,8580,2936,2790,8565,5490,2410,665,2790,545,2240,2790,8580,2297.5
5350293.00,CT,0293.00,2.0084,6808,2410,2326,6800,3680,2255,865,2330,475,1860,2325,6808,3389.8
5350294.01,CT,0294.01,0.8618,4177,1580,1527,4185,2260,1410,520,1510,300,1215,1525,4177,4846.8
5350294.02,CT,0294.02,1.0199,4449,1442,1387,4385,2660,1400,320,1420,240,1180,1385,4449,4362.2
5350295.00,CT,0295.00,1.0854,5481,2030,1953,5465,3240,1660,560,1970,485,1490,1955,5481,5049.8
5350296.00,CT,0296.00,4.6465,1744,689,653,1840,1010,555,280,665,95,575,655,1744,375.3
5350297.01,CT,0297.01,1.1337,7239,3069,2925,7130,4365,1785,980,2925,910,2020,2925,7239,6385.3
5350297.02,CT,0297.02,1.5096,6646,2684,2547,6640,3245,2025,1365,2545,700,1845,2545,6646,4402.5
5350298.00,CT,0298.00,2.2618,4561,1612,1532,4535,1820,1105,1615,1550,270,1275,1535,4561,2016.5
5350299.01,CT,0299.01,2.8825,6289,2375,2237,6325,2965,1760,1600,2235,420,1815,2240,6289,2181.8
5350299.02,CT,0299.02,0.1593,5130,3025,2786,5055,3660,910,485,2770,1240,1535,2785,5130,32203.4
5350300.01,CT,0300.01,0.1208,3850,2404,2141,3935,3180,580,175,2185,1010,1175,2140,3850,31870.9
5350300.02,CT,0300.02,0.2063,7505,4136,3889,7440,5165,1525,745,3845,1495,2355,3890,7505,36379.1
5350300.03,CT,0300.03,0.7065,2448,1024,969,2420,1325,670,420,965,325,640,970,2448,3465
5350301.01,CT,0301.01,0.8978,2863,1085,1053,2830,1635,705,485,1055,230,825,1055,2863,3188.9
